iter	Passed	Remaining
0	2	680
1	4	719
2	7	722
3	9	711
4	11	706
5	14	712
6	16	705
7	19	702
8	21	706
9	24	701
10	26	697
11	29	696
12	31	694
13	33	690
14	36	687
15	38	686
16	41	683
17	43	679
18	45	678
19	48	676
20	50	672
21	53	672
22	55	670
23	58	667
24	60	666
25	63	664
26	65	661
27	67	659
28	70	659
29	72	656
30	75	654
31	78	655
32	80	653
33	83	651
34	85	649
35	88	646
36	90	643
37	92	641
38	95	638
39	97	635
40	100	633
41	102	631
42	105	628
43	107	625
44	109	622
45	112	620
46	114	617
47	117	614
48	119	612
49	121	609
50	124	607
51	126	604
52	129	602
53	131	600
54	134	597
55	136	595
56	139	593
57	141	590
58	143	587
59	146	585
60	148	583
61	151	580
62	153	578
63	156	575
64	157	570
65	160	568
66	162	566
67	165	563
68	167	561
69	170	559
70	172	556
71	175	554
72	177	551
73	179	549
74	182	546
75	184	544
76	187	541
77	189	539
78	191	536
79	194	534
80	196	531
81	199	529
82	201	526
83	203	524
84	206	521
85	208	519
86	211	517
87	213	514
88	216	512
89	218	510
90	221	507
91	223	505
92	225	502
93	228	500
94	230	497
95	233	495
96	235	493
97	238	490
98	240	488
99	242	485
100	245	483
101	247	480
102	249	478
103	252	475
104	254	472
105	257	470
106	259	468
107	261	465
108	264	463
109	266	460
110	269	458
111	271	455
112	274	453
113	276	450
114	278	448
115	281	446
116	283	443
117	285	440
118	288	438
119	290	436
120	293	433
121	295	431
122	298	429
123	300	426
124	302	424
125	305	421
126	307	419
127	310	416
128	312	414
129	314	411
130	317	409
131	319	406
132	322	405
133	324	402
134	327	400
135	329	397
136	332	395
137	334	392
138	336	390
139	339	387
140	341	385
141	344	382
142	346	380
143	349	378
144	351	376
145	354	373
146	356	371
147	359	368
148	361	366
149	363	363
150	366	361
151	368	359
152	371	356
153	374	354
154	376	352
155	379	350
156	381	347
157	384	345
158	386	343
159	389	340
160	391	338
161	394	335
162	396	333
163	398	330
164	401	328
165	403	325
166	406	323
167	408	321
168	410	318
169	413	316
170	415	313
171	418	311
172	420	308
173	423	306
174	425	303
175	428	301
176	430	299
177	432	296
178	435	294
179	437	291
180	440	289
181	442	286
182	445	284
183	447	282
184	449	279
185	452	277
186	455	275
187	457	272
188	459	270
189	462	267
190	464	265
191	467	262
192	469	260
193	472	258
194	474	255
195	477	253
196	479	250
197	482	248
198	485	246
199	487	243
200	490	241
201	493	239
202	495	236
203	498	234
204	500	231
205	502	229
206	505	226
207	507	224
208	510	222
209	512	219
210	515	217
211	517	214
212	519	212
213	522	209
214	524	207
215	526	204
216	529	202
217	531	199
218	534	197
219	536	195
220	539	192
221	541	190
222	543	187
223	546	185
224	548	182
225	551	180
226	553	177
227	555	175
228	558	173
229	560	170
230	562	168
231	565	165
232	567	163
233	570	160
234	572	158
235	574	155
236	577	153
237	579	150
238	581	148
239	584	146
240	586	143
241	588	141
242	591	138
243	593	136
244	595	133
245	598	131
246	600	128
247	602	126
248	605	123
249	607	121
250	610	119
251	612	116
252	614	114
253	617	111
254	619	109
255	622	106
256	624	104
257	627	102
258	629	99
259	631	97
260	634	94
261	636	92
262	638	89
263	641	87
264	643	85
265	646	82
266	648	80
267	650	77
268	653	75
269	655	72
270	657	70
271	660	67
272	662	65
273	665	63
274	667	60
275	669	58
276	672	55
277	674	53
278	677	50
279	679	48
280	681	46
281	684	43
282	686	41
283	688	38
284	691	36
285	693	33
286	695	31
287	698	29
288	700	26
289	702	24
290	705	21
291	707	19
292	709	16
293	712	14
294	714	12
295	716	9
296	719	7
297	721	4
298	723	2
299	725	0
